# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Mon, 13 Apr 2026 03:01:08 +0200
#
# IP	number of (black)lists
#
45.38.41.162	8
71.6.165.200	8
216.57.110.81	8
14.63.217.28	7
43.128.93.40	7
45.148.10.121	7
45.205.1.8	7
66.240.192.138	7
66.240.236.119	7
71.6.135.131	7
80.66.66.70	7
80.82.77.139	7
86.54.31.32	7
86.54.31.40	7
87.251.64.144	7
87.251.64.145	7
87.251.64.147	7
87.251.64.149	7
93.174.95.106	7
125.20.210.182	7
142.93.167.198	7
144.31.81.21	7
160.119.76.40	7
167.94.146.49	7
167.94.146.51	7
167.94.146.53	7
167.94.146.58	7
167.94.146.60	7
167.94.146.61	7
185.214.74.251	7
194.88.98.86	7
2.26.61.107	6
2.26.81.183	6
2.57.121.17	6
2.57.121.50	6
2.57.121.86	6
2.57.121.118	6
2.59.22.234	6
13.89.125.27	6
14.63.196.175	6
20.15.163.51	6
20.15.224.207	6
20.64.105.74	6
20.64.105.81	6
20.65.154.83	6
20.65.192.214	6
20.65.195.59	6
20.118.216.53	6
20.118.241.146	6
20.119.86.71	6
20.150.193.141	6
20.163.10.187	6
20.163.15.93	6
20.169.49.11	6
20.221.68.74	6
27.79.3.114	6
27.79.5.188	6
27.79.45.116	6
35.203.210.18	6
35.203.211.136	6
37.10.113.210	6
37.10.113.212	6
37.10.113.213	6
37.10.113.217	6
37.10.113.218	6
37.10.113.221	6
41.110.4.106	6
43.133.174.69	6
43.252.231.122	6
45.66.228.255	6
45.91.64.6	6
45.91.64.7	6
45.135.194.48	6
45.148.10.151	6
45.148.10.152	6
45.148.10.157	6
45.156.128.179	6
45.227.254.170	6
45.232.73.84	6
59.99.184.165	6
61.182.2.26	6
62.193.106.227	6
64.62.156.10	6
64.62.156.24	6
64.62.156.52	6
64.62.156.80	6
64.62.156.122	6
64.62.156.152	6
64.62.156.162	6
64.62.156.172	6
64.62.156.212	6
64.62.156.222	6
66.132.172.41	6
66.132.172.178	6
66.132.186.167	6
66.132.186.203	6
66.132.195.53	6
66.132.224.80	6
66.132.224.84	6
66.132.224.88	6
66.132.224.91	6
66.132.224.223	6
66.132.224.228	6
66.132.224.231	6
66.132.224.235	6
66.132.224.238	6
66.175.212.153	6
71.6.134.233	6
71.6.158.166	6
71.6.199.23	6
74.82.47.5	6
78.153.151.9	6
80.253.31.232	6
81.30.162.19	6
83.171.89.209	6
85.24.209.239	6
85.217.140.8	6
85.217.140.36	6
85.217.140.39	6
85.217.140.41	6
85.217.140.52	6
85.217.140.53	6
85.217.149.2	6
85.217.149.8	6
85.217.149.13	6
85.217.149.15	6
85.217.149.22	6
85.217.149.24	6
85.217.149.25	6
85.217.149.26	6
85.217.149.31	6
85.217.149.35	6
85.217.149.39	6
85.217.149.40	6
85.217.149.44	6
85.217.149.52	6
85.217.149.55	6
85.217.149.56	6
85.217.149.59	6
85.217.149.60	6
85.217.149.64	6
85.217.149.65	6
85.217.149.67	6
85.217.149.73	6
86.54.31.34	6
89.248.167.131	6
91.230.168.68	6
91.230.168.147	6
91.231.89.41	6
91.231.89.46	6
91.231.89.58	6
92.33.193.44	6
92.118.39.72	6
94.102.49.193	6
94.231.206.251	6
95.167.225.76	6
101.47.158.137	6
102.140.97.134	6
103.40.61.98	6
103.148.100.146	6
103.210.21.178	6
104.248.143.70	6
109.105.209.32	6
109.105.210.60	6
109.248.170.188	6
115.231.78.11	6
117.6.44.221	6
119.3.230.28	6
129.159.149.21	6
135.237.126.41	6
142.248.80.31	6
142.248.80.104	6
147.182.194.60	6
147.185.133.3	6
147.185.133.198	6
152.32.162.42	6
152.42.240.74	6
154.221.28.214	6
156.227.233.77	6
157.255.35.190	6
162.216.149.205	6
163.7.8.88	6
165.154.5.188	6
165.154.227.162	6
167.71.217.52	6
167.94.146.50	6
167.94.146.52	6
167.94.146.54	6
167.94.146.55	6
167.94.146.56	6
167.94.146.57	6
167.94.146.59	6
167.94.146.62	6
167.99.134.35	6
168.167.228.74	6
171.231.192.123	6
172.178.115.138	6
175.200.104.40	6
176.32.193.16	6
178.83.200.3	6
183.98.76.106	6
184.105.247.196	6
185.38.148.2	6
187.210.77.100	6
190.145.192.106	6
192.42.116.19	6
192.71.244.117	6
193.176.31.147	6
193.176.31.152	6
193.176.31.153	6
194.88.98.83	6
194.88.98.85	6
194.88.98.88	6
194.88.98.89	6
194.88.98.90	6
194.88.98.91	6
194.88.98.93	6
194.164.107.6	6
195.178.110.15	6
197.5.145.102	6
197.227.8.186	6
199.45.154.120	6
199.45.154.155	6
199.45.155.67	6
199.45.155.83	6
200.69.236.207	6
203.55.131.4	6
203.55.131.5	6
203.121.40.210	6
204.168.234.56	6
213.209.159.158	6
213.209.159.159	6
218.145.181.48	6
221.156.126.1	6
221.229.218.50	6
222.108.39.109	6
2.26.105.167	5
2.27.46.115	5
2.27.53.96	5
2.57.121.69	5
2.57.122.188	5
2.57.122.189	5
2.57.122.190	5
2.57.122.193	5
2.57.122.194	5
2.57.122.196	5
2.57.122.199	5
2.57.122.210	5
2.57.122.238	5
3.90.5.174	5
3.91.148.177	5
3.129.187.38	5
3.130.168.2	5
3.131.220.121	5
3.132.26.232	5
3.134.216.108	5
3.143.162.210	5
3.151.241.153	5
5.61.209.107	5
5.78.178.26	5
5.101.64.6	5
5.187.35.142	5
5.187.97.40	5
9.234.8.125	5
12.156.67.18	5
13.86.113.214	5
13.86.116.180	5
13.86.117.6	5
13.89.124.219	5
13.89.124.222	5
13.89.125.23	5
13.89.125.254	5
13.218.94.63	5
13.222.161.63	5
14.103.117.173	5
14.116.156.100	5
14.248.83.33	5
18.116.101.220	5
18.218.118.203	5
18.234.190.223	5
20.14.73.1	5
20.14.74.80	5
20.14.74.210	5
20.14.79.82	5
20.14.89.71	5
20.14.89.155	5
20.15.160.31	5
20.15.162.87	5
20.15.163.139	5
20.29.47.111	5
20.29.56.192	5
20.38.33.240	5
20.40.216.95	5
20.40.218.136	5
20.46.225.117	5
20.55.2.194	5
20.55.99.64	5
20.64.104.78	5
20.64.104.82	5
20.64.104.120	5
20.64.104.184	5
20.64.105.25	5
20.64.105.32	5
20.64.105.121	5
20.64.105.127	5
20.64.105.230	5
20.64.105.237	5
20.64.105.243	5
20.64.105.251	5
20.64.105.253	5
20.64.106.28	5
20.64.106.38	5
20.64.106.71	5
20.64.106.75	5
20.64.106.77	5
20.64.106.116	5
20.64.106.222	5
20.65.137.218	5
20.65.145.179	5
20.65.154.146	5
20.65.192.150	5
20.65.193.130	5
20.65.193.152	5
20.65.193.252	5
20.65.194.28	5
20.65.194.54	5
20.65.194.88	5
20.65.194.90	5
20.65.194.102	5
20.65.194.113	5
20.65.194.143	5
20.65.194.162	5
20.65.195.41	5
20.65.195.96	5
20.65.195.118	5
20.65.195.123	5
20.83.32.170	5
20.84.144.113	5
20.98.166.120	5
20.106.32.128	5
20.106.168.113	5
20.106.206.77	5
20.118.32.47	5
20.119.99.184	5
20.127.224.63	5
20.163.2.53	5
20.163.2.150	5
20.163.5.243	5
20.163.14.234	5
20.163.15.131	5
20.163.15.172	5
20.163.15.177	5
20.163.15.225	5
20.163.39.86	5
20.163.60.206	5
20.163.60.228	5
20.163.76.6	5
20.168.120.44	5
20.168.120.101	5
20.169.49.16	5
20.169.49.41	5
20.169.49.156	5
20.169.83.190	5
20.169.83.214	5
20.169.85.72	5
20.169.105.90	5
20.172.70.65	5
23.94.213.157	5
23.129.64.196	5
27.111.32.174	5
31.14.32.5	5
31.14.32.6	5
31.14.32.7	5
31.14.32.8	5
31.210.53.76	5
34.38.249.52	5
34.58.124.191	5
34.78.29.97	5
34.85.163.94	5
34.124.213.151	5
34.142.110.144	5
34.175.118.185	5
34.205.139.189	5
34.226.190.36	5
34.239.122.61	5
35.202.9.133	5
35.203.210.30	5
35.203.210.47	5
35.203.210.93	5
35.203.210.95	5
35.203.210.101	5
35.203.210.104	5
35.203.210.111	5
35.203.210.121	5
35.203.210.129	5
35.203.210.146	5
35.203.210.153	5
35.203.210.158	5
35.203.210.162	5
35.203.210.164	5
35.203.210.188	5
35.203.210.208	5
35.203.210.213	5
35.203.210.214	5
35.203.210.216	5
35.203.210.220	5
35.203.210.228	5
35.203.210.243	5
35.203.210.254	5
35.203.211.8	5
35.203.211.16	5
35.203.211.31	5
35.203.211.51	5
35.203.211.65	5
35.203.211.83	5
35.203.211.86	5
35.203.211.107	5
35.203.211.125	5
35.203.211.140	5
35.203.211.144	5
35.203.211.155	5
35.203.211.167	5
35.203.211.172	5
35.203.211.241	5
35.203.211.245	5
35.203.211.251	5
35.222.117.243	5
35.237.94.18	5
36.50.177.119	5
36.64.68.99	5
36.91.166.34	5
36.255.3.203	5
37.10.113.214	5
37.10.113.219	5
37.10.113.220	5
37.10.113.222	5
38.124.152.45	5
40.76.116.105	5
40.76.124.166	5
40.124.116.126	5
40.124.173.160	5
40.124.173.234	5
40.124.174.226	5
40.124.175.86	5
40.124.175.188	5
40.124.178.49	5
40.124.186.100	5
41.33.91.226	5
41.59.86.232	5
41.71.37.96	5
41.82.38.5	5
41.128.181.199	5
41.216.177.55	5
41.220.3.101	5
43.128.76.85	5
43.128.122.242	5
43.130.60.150	5
43.134.6.39	5
43.134.116.136	5
43.134.187.172	5
43.135.124.152	5
43.163.107.154	5
43.242.247.141	5
43.243.142.42	5
43.245.249.251	5
43.251.161.198	5
44.202.56.60	5
45.15.225.120	5
45.33.14.5	5
45.65.233.18	5
45.79.5.11	5
45.79.8.221	5
45.79.115.59	5
45.79.115.134	5
45.79.128.205	5
45.79.181.94	5
45.79.181.104	5
45.79.181.223	5
45.79.181.251	5
45.79.207.71	5
45.79.207.110	5
45.79.207.129	5
45.79.207.181	5
45.79.211.97	5
45.82.78.102	5
45.82.78.104	5
45.84.107.47	5
45.84.107.97	5
45.90.237.177	5
45.120.216.232	5
45.130.166.61	5
45.148.10.141	5
45.148.10.147	5
45.148.10.183	5
45.156.128.118	5
45.156.128.119	5
45.156.128.123	5
45.156.128.178	5
45.156.129.60	5
45.156.129.76	5
45.156.129.95	5
45.156.129.96	5
45.156.129.165	5
45.169.128.70	5
45.172.152.74	5
45.175.37.18	5
45.175.37.29	5
45.194.70.248	5
45.194.70.254	5
45.195.221.26	5
45.196.236.141	5
45.249.245.54	5
46.8.68.17	5
46.30.161.197	5
47.180.114.229	5
47.251.93.227	5
48.217.84.135	5
49.207.40.162	5
49.231.192.36	5
50.16.162.130	5
50.84.211.204	5
50.225.176.238	5
51.38.51.166	5
51.68.65.117	5
51.75.194.10	5
51.158.120.121	5
51.158.243.172	5
51.178.114.78	5
52.90.41.108	5
52.165.88.155	5
52.180.145.88	5
52.186.170.77	5
52.188.227.37	5
52.188.231.113	5
52.203.40.22	5
52.207.126.70	5
52.248.43.121	5
52.255.183.238	5
54.85.125.115	5
54.144.115.111	5
54.196.240.224	5
54.197.72.69	5
59.12.160.91	5
59.44.42.9	5
59.98.83.57	5
60.178.15.57	5
60.199.224.2	5
62.84.180.250	5
64.62.156.38	5
64.62.156.66	5
64.62.156.94	5
64.62.156.108	5
64.62.156.132	5
64.62.156.142	5
64.62.156.182	5
64.62.156.192	5
64.62.156.202	5
64.62.156.230	5
64.62.197.17	5
64.62.197.47	5
64.62.197.62	5
64.62.197.77	5
64.62.197.92	5
64.62.197.122	5
64.62.197.152	5
64.62.197.167	5
64.62.197.182	5
64.62.197.197	5
64.62.197.212	5
64.62.197.227	5
64.225.101.76	5
64.225.113.138	5
64.227.76.184	5
64.227.82.243	5
65.49.1.10	5
65.49.1.24	5
65.49.1.38	5
65.49.1.52	5
65.49.1.66	5
65.49.1.80	5
65.49.1.94	5
65.49.1.108	5
65.49.1.122	5
65.49.1.132	5
65.49.1.142	5
65.49.1.152	5
65.49.1.162	5
65.49.1.172	5
65.49.1.182	5
65.49.1.192	5
65.49.1.202	5
65.49.1.212	5
65.49.1.222	5
65.49.1.232	5
65.49.20.66	5
65.49.20.67	5
65.49.20.68	5
66.132.172.32	5
66.132.172.34	5
66.132.172.35	5
66.132.172.36	5
66.132.172.39	5
66.132.172.40	5
66.132.172.42	5
66.132.172.43	5
66.132.172.46	5
66.132.172.47	5
66.132.172.96	5
66.132.172.97	5
66.132.172.98	5
66.132.172.99	5
66.132.172.100	5
66.132.172.101	5
66.132.172.104	5
66.132.172.105	5
66.132.172.106	5
66.132.172.107	5
66.132.172.108	5
66.132.172.109	5
66.132.172.110	5
66.132.172.111	5
66.132.172.128	5
66.132.172.129	5
66.132.172.130	5
66.132.172.131	5
66.132.172.132	5
66.132.172.133	5
66.132.172.135	5
66.132.172.136	5
66.132.172.137	5
66.132.172.138	5
66.132.172.139	5
66.132.172.140	5
66.132.172.141	5
66.132.172.142	5
66.132.172.143	5
66.132.172.176	5
66.132.172.177	5
66.132.172.179	5
66.132.172.180	5
66.132.172.181	5
66.132.172.182	5
66.132.172.183	5
66.132.172.184	5
66.132.172.185	5
66.132.172.186	5
66.132.172.187	5
66.132.172.189	5
66.132.172.190	5
66.132.172.191	5
66.132.172.192	5
66.132.172.193	5
66.132.172.194	5
66.132.172.195	5
66.132.172.196	5
66.132.172.197	5
66.132.172.199	5
66.132.172.200	5
66.132.172.201	5
66.132.172.202	5
66.132.172.204	5
66.132.172.205	5
66.132.172.206	5
66.132.172.207	5
66.132.172.209	5
66.132.172.210	5
66.132.172.211	5
66.132.172.212	5
66.132.172.213	5
66.132.172.214	5
66.132.172.215	5
66.132.172.217	5
66.132.172.218	5
